Timestamp,TERM_ANA,LM35_0,LM35_1,LM35_2,DS18B20_0,DS18B20_1,DS18B20_2
2025-05-21 09:41:05,789.0,556.0,626.0,29.0,12.0,14.13,15.88
2025-05-21 09:41:06,786.0,556.0,612.0,26.0,12.0,14.13,15.88
2025-05-21 09:41:08,790.0,556.0,605.0,39.0,12.0,14.13,15.88
2025-05-21 09:41:10,786.0,556.0,613.0,21.0,12.0,14.13,15.81
2025-05-21 09:41:11,789.0,556.0,610.0,56.0,12.0,14.13,15.88
2025-05-21 09:41:13,789.0,556.0,616.0,54.0,12.0,14.13,15.81
2025-05-21 09:41:15,789.0,556.0,611.0,31.0,11.94,14.13,15.81
2025-05-21 09:41:16,789.0,556.0,611.0,23.0,11.94,14.13,15.81
2025-05-21 09:41:18,789.0,556.0,614.0,23.0,11.94,14.06,15.81
2025-05-21 09:41:20,788.0,556.0,611.0,22.0,11.94,14.06,15.81
2025-05-21 09:41:22,790.0,556.0,613.0,40.0,11.88,14.13,15.88
2025-05-21 09:41:23,789.0,556.0,614.0,25.0,11.94,14.13,15.81
2025-05-21 09:41:25,787.0,556.0,614.0,19.0,11.94,14.13,15.88
2025-05-21 09:41:27,788.0,556.0,615.0,54.0,11.94,14.13,15.81
2025-05-21 09:41:28,788.0,556.0,614.0,24.0,11.94,14.13,15.88
2025-05-21 09:41:30,789.0,556.0,611.0,27.0,11.94,14.13,15.81
2025-05-21 09:41:32,789.0,556.0,616.0,43.0,11.94,14.13,15.81
2025-05-21 09:41:33,790.0,557.0,616.0,28.0,12.0,14.06,15.88
2025-05-21 09:41:35,789.0,557.0,610.0,45.0,11.94,14.06,15.88
2025-05-21 09:41:37,789.0,556.0,610.0,21.0,11.94,14.13,15.81
2025-05-21 09:41:38,790.0,557.0,611.0,28.0,12.0,14.13,15.88
2025-05-21 09:41:40,790.0,556.0,608.0,33.0,12.0,14.06,15.81
2025-05-21 09:41:42,789.0,556.0,615.0,29.0,12.0,14.13,15.88
2025-05-21 09:41:44,788.0,556.0,614.0,27.0,12.06,14.13,15.88
2025-05-21 09:41:45,788.0,556.0,605.0,21.0,12.06,14.06,15.88
2025-05-21 09:41:47,788.0,556.0,609.0,43.0,12.06,14.06,15.88
2025-05-21 09:41:49,789.0,556.0,606.0,44.0,12.06,14.13,15.88
